Story_Title,Question,Attempt_Count,First_Correct,Last_Correct,Improvement_Pattern
dino resta a casa,Che giorno è nella storia?,5,True,True,Stayed Correct
dino resta a casa,Chi è Dino?,5,False,False,Stayed Wrong
dino resta a casa,Chi è Joe?,5,True,True,Stayed Correct
dino resta a casa,Cosa chiede Viola alla mamma prima di alzarsi?,6,False,False,Stayed Wrong
dino resta a casa,Cosa deve fare la mamma di Viola?,5,True,True,Stayed Correct
dino resta a casa,Cosa fa Viola prima di uscire?,5,True,True,Stayed Correct
dino resta a casa,Cosa pensa Viola alla fine?,5,False,True,Improved
dino resta a casa,Cosa scopre Viola?,5,True,True,Stayed Correct
dino resta a casa,Dove controlla Viola se ha preso tutto?,5,True,True,Stayed Correct
dino resta a casa,Dove porta la mamma Viola?,5,True,True,Stayed Correct
dov'è biancaneve?,Chi accompagna Cappuccetto Rosso verso casa della nonna?,2,True,True,Stayed Correct
dov'è biancaneve?,Chi incontra Cappuccetto Rosso nel bosco?,2,True,True,Stayed Correct
dov'è biancaneve?,Chi è la protagonista della storia?,2,True,True,Stayed Correct
dov'è biancaneve?,Come reagisce Cappuccetto Rosso quando si ricorda della nonna?,2,True,True,Stayed Correct
dov'è biancaneve?,Come vanno tutti insieme?,2,False,False,Stayed Wrong
dov'è biancaneve?,Cosa chiedono i sette nani?,2,True,True,Stayed Correct
dov'è biancaneve?,Cosa le chiede la mamma?,2,True,True,Stayed Correct
dov'è biancaneve?,Cosa le raccomanda la mamma?,2,True,True,Stayed Correct
dov'è biancaneve?,Dove pensano di trovare Biancaneve?,2,True,True,Stayed Correct
dov'è biancaneve?,Perché corrono alla casa della nonna?,2,True,True,Stayed Correct
il mago dormiglione,Chi è il protagonista della storia?,2,True,True,Stayed Correct
il mago dormiglione,Come presenta il mago i suoi allievi alla commissione?,2,False,False,Stayed Wrong
il mago dormiglione,Cosa facevano i piccoli maghi quando il mago dormiva?,2,True,True,Stayed Correct
il mago dormiglione,Cosa trasformavano in lombrichi?,2,True,True,Stayed Correct
il mago dormiglione,Cosa versavano nelle tasche del mago?,2,True,True,Stayed Correct
il mago dormiglione,Dove insegnava il mago?,2,True,True,Stayed Correct
il mago dormiglione,Martino era specialista in cosa?,3,True,False,Worsened
il mago dormiglione,Qual è la scoperta dei bambini alla fine?,2,True,True,Stayed Correct
il mago dormiglione,Quale giorno arriva la commissione di maghi?,2,True,True,Stayed Correct
il mago dormiglione,"Quando si svegliava il mago, come trovava gli allievi?",2,True,False,Worsened
l'orologio,A che ora torna il papà?,4,True,True,Stayed Correct
l'orologio,A chi piace guardare l’orologio?,4,False,False,Stayed Wrong
l'orologio,A chi voleva raccontare tutto Filippo?,4,False,False,Stayed Wrong
l'orologio,Come si sentiva Filippo quella sera?,4,False,False,Stayed Wrong
l'orologio,Cosa faceva la mamma mentre Filippo guardava l’orologio?,4,True,True,Stayed Correct
l'orologio,Cosa gli aveva spiegato la mamma?,4,True,True,Stayed Correct
l'orologio,Cosa ha fatto Filippo a scuola?,4,False,False,Stayed Wrong
l'orologio,Cosa hanno fatto i compagni quando Filippo ha spiegato l’orologio?,4,True,True,Stayed Correct
l'orologio,Dove guardava Filippo per capire l’ora?,4,True,True,Stayed Correct
l'orologio,Qual è la lancetta che corre più veloce?,4,False,True,Improved
troppo bianchi,Chi arriva correndo e salta sulla schiena dell’ermellino?,3,True,True,Stayed Correct
troppo bianchi,Chi fa il giudice?,3,True,True,Stayed Correct
troppo bianchi,Chi spiava il topolino nella neve?,4,False,True,Improved
troppo bianchi,Come reagisce l’ermellino?,3,True,True,Stayed Correct
troppo bianchi,Cosa decide l’orso?,3,True,True,Stayed Correct
troppo bianchi,Cosa fa l’orso alla fine?,3,True,False,Worsened
troppo bianchi,Dove finisce la discussione?,3,True,True,Stayed Correct
troppo bianchi,Perché la lepre ora ha le orecchie nere?,3,True,True,Stayed Correct
troppo bianchi,Perché l’ermellino ha un ciuffo nero sulla coda?,5,False,True,Improved
troppo bianchi,Perché l’ermellino si è confuso?,3,True,True,Stayed Correct
tutti in gita!,Che giorno è nella storia?,4,True,True,Stayed Correct
tutti in gita!,Come si sentono le maestre alla fine?,4,True,True,Stayed Correct
tutti in gita!,Con chi partono?,4,False,False,Stayed Wrong
tutti in gita!,Cosa dicono gli altri bambini quando vedono il bambino bere l’acqua salata?,4,True,True,Stayed Correct
tutti in gita!,Cosa fa il bambino appena arriva in spiaggia?,4,True,True,Stayed Correct
tutti in gita!,Cosa fanno i bambini sul pullman?,4,True,True,Stayed Correct
tutti in gita!,Cosa grida un bambino appena vede il mare?,4,True,True,Stayed Correct
tutti in gita!,Cosa pensa una maestra quando il bambino vuole bere l’acqua del mare?,4,False,False,Stayed Wrong
tutti in gita!,Dove vanno i bambini?,4,True,True,Stayed Correct
