Story_Title,Question,User_Answer,Correct_Answer,Is_Correct
il mago dormiglione,Chi è il protagonista della storia?,un mago molto saggio,un mago molto saggio,True
il mago dormiglione,Dove insegnava il mago?,a scuola dei maghi,a scuola dei maghi,True
il mago dormiglione,Cosa facevano i piccoli maghi quando il mago dormiva?,facevano scherzi e magie,facevano scherzi e magie,True
il mago dormiglione,Cosa trasformavano in lombrichi?,le stringhe delle sue scarpe,le stringhe delle sue scarpe,True
il mago dormiglione,Cosa versavano nelle tasche del mago?,aranciata,aranciata,True
il mago dormiglione,"Quando si svegliava il mago, come trovava gli allievi?",addormentati,ordinati e attenti,False
il mago dormiglione,Quale giorno arriva la commissione di maghi?,il giorno dell’esame,il giorno dell’esame,True
il mago dormiglione,Come presenta il mago i suoi allievi alla commissione?,con i loro nomi e le loro specialità,con i loro nomi e con un applauso,False
il mago dormiglione,Martino era specialista in cosa?,lombrichi,aranciata,False
il mago dormiglione,Qual è la scoperta dei bambini alla fine?,il mago li metteva alla prova,il mago li metteva alla prova,True
una bella sorpresa,Cosa stanno facendo Maura e Angelo?,disegnano un giardino,disegnano un giardino,True
una bella sorpresa,Cosa vuole mettere Angelo nel giardino?,uno scivolo alto alto,uno scivolo alto alto,True
una bella sorpresa,Cosa disegna Maura?,fiori colorati,fiori colorati,True
una bella sorpresa,Che animale disegna Angelo?,un elefante,un elefante,True
una bella sorpresa,Che animale disegna Maura?,un gattino nero con macchia bianca,un gattino nero con macchia bianca,True
una bella sorpresa,Di che colore è il gattino disegnato da Angelo?,bianco con macchia nera,nero con macchia bianca,False
una bella sorpresa,Chi chiama i bambini?,la mamma e il papà,la mamma e il papà,True
una bella sorpresa,Cosa trovano i bambini uscendo?,un gattino bianco e marrone,un gattino bianco e marrone,True
una bella sorpresa,Come viene descritto il gattino?,un batuffolo tutto nero,un batuffolo bianco e marrone,False
una bella sorpresa,Come si sentono i bambini alla fine?,sorpresi e felici,tristi,False
tutti in gita!,Che giorno è nella storia?,un giorno di sole e senza nuvole,un giorno di sole e senza nuvole,True
tutti in gita!,Dove vanno i bambini?,al mare,al mare,True
tutti in gita!,Con chi partono?,con quattro maestre e il bidello carletto,con due maestre e il bidello carletto,False
tutti in gita!,Cosa fanno i bambini sul pullman?,cantano,cantano,True
tutti in gita!,Cosa grida un bambino appena vede il mare?,il lago!,il lago!,True
tutti in gita!,Perché le maestre si disperano?,perché il bambino confonde il mare con il lago,perché il bambino confonde il mare con il lago,True
tutti in gita!,Cosa pensa una maestra quando il bambino vuole bere l’acqua del mare?,di lasciarlo provare così impara,di dargli una bottiglietta d’acqua,False
tutti in gita!,Cosa fa il bambino appena arriva in spiaggia?,beve l’acqua di mare,beve l’acqua di mare,True
tutti in gita!,Cosa dicono gli altri bambini quando vedono il bambino bere l’acqua salata?,ci cascano anche loro e bevono,ci cascano anche loro e bevono,True
tutti in gita!,Come si sentono le maestre alla fine?,sempre più disperate,sempre più disperate,True
una sciarpa per la scuola,Cosa tira fuori il maestro Camillo dallo zaino?,una sciarpa colorata,una sciarpa colorata,True
una sciarpa per la scuola,Che cosa pende dai ferri da maglia?,un grosso gomitolo di lana,un grosso gomitolo di lana,True
una sciarpa per la scuola,Cosa chiede Riccardo?,cosa sia la sciarpa,cosa sia la sciarpa,True
una sciarpa per la scuola,Cosa fa il maestro Camillo la sera?,lavora a maglia,guarda la televisione,False
una sciarpa per la scuola,Cosa propone il maestro ai bambini?,di lavorare a maglia insieme,di lavorare a maglia insieme,True
una sciarpa per la scuola,Chi può aiutare a fare la sciarpa?,"bambini, genitori, nonni, zie, amici… tutti!","bambini, genitori, nonni, zie, amici… tutti!",True
una sciarpa per la scuola,Cosa vuole fare il maestro con la sciarpa?,circondare tutta la scuola,circondare tutta la scuola,True
una sciarpa per la scuola,Perché il maestro vuole fare la sciarpa più lunga del mondo?,per diventare famoso,per far conoscere la scuola e non farla chiudere,False
una sciarpa per la scuola,Cosa fanno i bambini quando sentono l’idea del maestro?,alzano la mano per dire che sono d’accordo,alzano la mano per dire che sono d’accordo,True
una sciarpa per la scuola,Qual è il messaggio del maestro Camillo?,"lavorare insieme, grandi e piccoli, tutti uniti","lavorare insieme, grandi e piccoli, tutti uniti",True
dov'è biancaneve?,Chi è la protagonista della storia?,cappuccetto rosso,cappuccetto rosso,True
dov'è biancaneve?,Cosa le chiede la mamma?,di portare il pranzo alla nonna,di portare il pranzo alla nonna,True
dov'è biancaneve?,Cosa le raccomanda la mamma?,di non passare per il bosco,di non passare per il bosco,True
dov'è biancaneve?,Chi incontra Cappuccetto Rosso nel bosco?,sette nani,sette nani,True
dov'è biancaneve?,Cosa chiedono i sette nani?,se ha visto biancaneve,se ha visto biancaneve,True
dov'è biancaneve?,Dove pensano di trovare Biancaneve?,alla casa della nonna,alla casa della nonna,True
dov'è biancaneve?,Come reagisce Cappuccetto Rosso quando si ricorda della nonna?,si dà un colpo in testa,si dà un colpo in testa,True
dov'è biancaneve?,Chi accompagna Cappuccetto Rosso verso casa della nonna?,i sette nani,i sette nani,True
dov'è biancaneve?,Come vanno tutti insieme?,correndo,lentamente,False
dov'è biancaneve?,Perché corrono alla casa della nonna?,per cercare biancaneve,per cercare biancaneve,True
troppo bianchi,Chi spiava il topolino nella neve?,una lepre,una lepre,True
troppo bianchi,Chi arriva correndo e salta sulla schiena dell’ermellino?,una lepre bianca,una lepre bianca,True
troppo bianchi,Come reagisce l’ermellino?,morde la lepre,morde la lepre,True
