Story_Title,Question,User_Answer,Correct_Answer,Is_Correct
come la notte scese sul mondo,Cosa desideravano gli indio?,avere un po’ di oscurità,dormire al sole,False
come la notte scese sul mondo,Chi custodiva il buio?,un demone nella foresta,un demone nella foresta,True
come la notte scese sul mondo,Cosa portavano i guerrieri?,frecce e cerbottane,frecce e cerbottane,True
come la notte scese sul mondo,Cosa rompevano i guerrieri la prima volta?,una pentolina,una pentolina,True
come la notte scese sul mondo,Cosa fecero quando finì il buio?,ritornarono nella foresta,ritornarono nella foresta,True
come la notte scese sul mondo,Cosa uscì dal pentolone?,buio,buio,True
come la notte scese sul mondo,Cosa non esisteva tanto tempo fa?,il buio,il sole,False
come la notte scese sul mondo,Cosa uscì dalla pentolina?,poco buio,poco buio,True
come la notte scese sul mondo,Cosa ruppero la seconda volta?,il pentolone grande,una pentola piccola,False
come la notte scese sul mondo,Da quel momento cosa esiste?,la notte,la notte,True
la festa di halloween,Chi è il protagonista?,rico,pietro,False
la festa di halloween,Cosa ama fare Rico?,mangiare dolci e fare scherzi,giocare a calcio con gli amici,False
la festa di halloween,Come si veste Rico?,da diavolo,da diavolo,True
la festa di halloween,Cosa ha con sé per gli scherzi?,carta igienica e pistole ad acqua,carta igienica e pistole ad acqua,True
la festa di halloween,Chi lo chiama?,il fratello,il papà,False
la festa di halloween,Cosa pensa Rico del costume di Pietro?,che è stupido,che è stupido,True
la festa di halloween,Come si sente Rico all’idea di uscire con Pietro?,vergognato,felice,False
la festa di halloween,Cosa teme Rico?,di essere deriso,di perdere dolci,False
la festa di halloween,Cosa deve fare Rico?,trovare una soluzione,trovare una soluzione,True
la festa di halloween,Come è vestito Pietro?,da coniglio rosa a pois,da coniglio rosa a pois,True
il gigante e l'ondina,Chi è l’ondina?,una fata delle acque,una fata delle acque,True
il gigante e l'ondina,Cosa faceva all’alba e al tramonto?,usciva dall’acqua per cantare,usciva dall’acqua per cantare,True
il gigante e l'ondina,Cosa succede quando l’ondina non si fa più vedere?,il gigante spinge le acque del mare,il gigante spinge le acque del mare,True
il gigante e l'ondina,Quanto tempo riposa il gigante?,sei ore,sei ore,True
il gigante e l'ondina,Cosa copriva il corpo del gigante?,alghe e gabbiani,alghe e gabbiani,True
il gigante e l'ondina,Come erano le acque quando il gigante riposava?,tranquille,tranquille,True
il gigante e l'ondina,Dove si svolge la storia?,sulla sponda del mare,sulla sonda del mare,False
il gigante e l'ondina,Chi ha scritto questa storia?,gianni rodari,saro de la iglesia,False
il gigante e l'ondina,Perché le acque salgono e scendono ancora oggi?,per il movimento del gigante,per il movimento del gigante,True
un momento eroico,Chi è il protagonista della storia?,edoardo,edoardo,True
un momento eroico,Cosa fa Edoardo alla mamma?,le chiude la porta,le chiude la porta,True
un momento eroico,Perché la mamma si preoccupa?,perché ci sono pericoli in casa,perché non trova le chiavi,False
un momento eroico,Chi aiuta Edoardo a restare tranquillo?,la banda della classe,la banda della classe,True
un momento eroico,Cosa raccontano a Edoardo?,la favola,una barzelletta,False
un momento eroico,Cosa gli dicono di fare?,restare dietro la porta,restare dietro la porta,True
un momento eroico,Edoardo cosa fa?,resta seduto,resta seduto,True
un momento eroico,Come si sentono tutti alla fine?,sollevati,spaventati,False
un momento eroico,Chi arriva alla fine?,i vigili del fuoco e i poliziotti,i vigili del fuoco e i poliziotti,True
un momento eroico,Cos’è stato davvero eroico?,l’arrivo dei pompieri,l’arrivo dei pompieri,True
la gallina e lo sciacallo,Chi incontra la gallina?,uno sciacallo,uno sciacallo,True
la gallina e lo sciacallo,Cosa fa la gallina quando vede lo sciacallo?,sale su un albero,corre via,False
la gallina e lo sciacallo,Cosa dice lo sciacallo?,che gli animali hanno fatto pace,che gli animali hanno fatto pace,True
la gallina e lo sciacallo,La gallina crede allo sciacallo?,"no, è prudente",corre giù,False
la gallina e lo sciacallo,Cosa vede la gallina da sopra l’albero?,un branco di cani,un branco di cani,True
la gallina e lo sciacallo,Cosa fa lo sciacallo appena sente dei cani?,si nasconde,corre via,False
la gallina e lo sciacallo,Cosa gli grida la gallina?,perché scappi?,perché scappi?,True
la gallina e lo sciacallo,Cosa risponde lo sciacallo?,che i cani non sanno ancora la notizia,che i cani non sanno ancora la notizia,True
la gallina e lo sciacallo,Qual è la morale della favola?,essere prudenti,essere forti,False
la gallina e lo sciacallo,Da dove viene questa favola?,tagikistan,tagikistan,True
incontro con il mammut,Come si chiama la bambina protagonista?,petra,petra,True
incontro con il mammut,In quale epoca vive la bambina?,nell’età della pietra,nell’età della pietra,True
incontro con il mammut,Dove va Petra a prendere l’acqua?,alla sorgente,alla sorgente,True
