Story_Title,Question,User_Answer,Correct_Answer,Is_Correct,Date
due grandi amici,Chi sono i protagonisti della storia?,max e mix,max e mix,True,2025-07-25 15:10:08
due grandi amici,Cosa fa Mix appena piccolino?,si arrampica su un albero,si arrampica su un albero,True,2025-07-25 15:10:27
due grandi amici,Chi cerca di salvare Mix?,un pompiere,max,False,2025-07-25 15:10:42
due grandi amici,Cosa succede a Max sull'albero?,ha le vertigini,ha le vertigini,True,2025-07-25 15:10:58
due grandi amici,Chi chiama i pompieri?,un vicino di casa,un vicino di casa,True,2025-07-25 15:11:05
due grandi amici,Cosa porta il camion dei pompieri?,una scala telescopica,una scala telescopica,True,2025-07-25 15:11:20
due grandi amici,Cosa dice Max a Mix?,di non arrampicarsi più sugli alberi alti,di non arrampicarsi più sugli alberi alti,True,2025-07-25 15:11:29
due grandi amici,Perché Max lo dice?,perché è un bravo amico,perché è un bravo amico,True,2025-07-25 15:11:41
due grandi amici,Come tornano a casa?,sporchi di polline di ippocastano,sporchi di polline di ippocastano,True,2025-07-25 15:11:50
due grandi amici,Cosa imparano i due amici?,che l’amicizia significa aiutarsi,a non uscire più,False,2025-07-25 15:12:01
due grandi amici,Chi cerca di salvare Mix?,max,max,True,2025-07-25 15:16:04
la festa di halloween,Chi è il protagonista?,rico,pietro,False,2025-07-28 15:09:00
la festa di halloween,Cosa ama fare Rico?,mangiare dolci e fare scherzi,giocare a calcio con gli amici,False,2025-07-28 15:09:16
la festa di halloween,Come si veste Rico?,da diavolo,da diavolo,True,2025-07-28 15:09:31
la festa di halloween,Cosa ha con sé per gli scherzi?,carta igienica e pistole ad acqua,carta igienica e pistole ad acqua,True,2025-07-28 15:09:39
la festa di halloween,Chi lo chiama?,il fratello,il papà,False,2025-07-28 15:11:16
la festa di halloween,Come è vestito Pietro?,da coniglio rosa a pois,da coniglio rosa a pois,True,2025-07-28 15:11:23
la festa di halloween,Cosa pensa Rico del costume di Pietro?,che è stupido,che è stupido,True,2025-07-28 15:11:38
la festa di halloween,Come si sente Rico all’idea di uscire con Pietro?,orgoglioso,felice,False,2025-07-28 15:13:30
la festa di halloween,Cosa teme Rico?,di essere deriso,di perdere dolci,False,2025-07-28 15:13:40
la festa di halloween,Cosa deve fare Rico?,trovare una soluzione,trovare una soluzione,True,2025-07-28 15:13:53
la festa di halloween,Come si sente Rico all’idea di uscire con Pietro?,vergognato,felice,False,2025-07-28 15:17:57
due grandi amici,Chi sono i protagonisti della storia?,max e mix,max e mix,True,2025-07-30 16:35:55
due grandi amici,Cosa fa Mix appena piccolino?,si arrampica su un albero,si arrampica su un albero,True,2025-07-30 16:36:11
due grandi amici,Chi cerca di salvare Mix?,max,max,True,2025-07-30 16:36:28
due grandi amici,Cosa succede a Max sull'albero?,ha le vertigini,ha le vertigini,True,2025-07-30 16:36:46
due grandi amici,Chi chiama i pompieri?,un vicino di casa,un vicino di casa,True,2025-07-30 16:36:58
due grandi amici,Cosa porta il camion dei pompieri?,una scala telescopica,una scala telescopica,True,2025-07-30 16:37:12
due grandi amici,Cosa dice Max a Mix?,di non arrampicarsi più sugli alberi alti,di non arrampicarsi più sugli alberi alti,True,2025-07-30 16:37:24
due grandi amici,Perché Max lo dice?,perché ha paura,perché è un bravo amico,False,2025-07-30 16:37:45
due grandi amici,Come tornano a casa?,sporchi di polline di ippocastano,sporchi di polline di ippocastano,True,2025-07-30 16:38:06
due grandi amici,Cosa imparano i due amici?,a non uscire più,a non uscire più,True,2025-07-30 16:38:22
due grandi amici,Chi sono i protagonisti della storia?,max e mix,max e mix,True,2025-08-06 17:14:30
due grandi amici,Cosa fa Mix appena piccolino?,si arrampica su un albero,si arrampica su un albero,True,2025-08-06 17:14:42
due grandi amici,Chi cerca di salvare Mix?,un pompiere,max,False,2025-08-06 17:14:54
due grandi amici,Cosa succede a Max sull'albero?,ha le vertigini,ha le vertigini,True,2025-08-06 17:15:05
due grandi amici,Chi chiama i pompieri?,un vicino di casa,un vicino di casa,True,2025-08-06 17:15:20
due grandi amici,Cosa porta il camion dei pompieri?,una scala telescopica,una scala telescopica,True,2025-08-06 17:15:44
due grandi amici,Cosa dice Max a Mix?,di non arrampicarsi più sugli alberi alti,di non arrampicarsi più sugli alberi alti,True,2025-08-06 17:15:59
due grandi amici,Perché Max lo dice?,perché ha paura,perché è un bravo amico,False,2025-08-06 17:16:16
due grandi amici,Come tornano a casa?,sporchi di polline di ippocastano,sporchi di polline di ippocastano,True,2025-08-06 17:16:56
due grandi amici,Cosa imparano i due amici?,che l’amicizia significa aiutarsi,a non uscire più,False,2025-08-06 17:17:13
due grandi amici,Chi cerca di salvare Mix?,max,max,True,2025-08-06 17:20:43
due grandi amici,Perché Max lo dice?,perché è un bravo amico,perché è un bravo amico,True,2025-08-06 17:21:03
la gallina e lo sciacallo,Chi incontra la gallina?,un cane,uno sciacallo,False,2025-09-04 15:11:11
la gallina e lo sciacallo,Cosa fa la gallina quando vede lo sciacallo?,corre via,corre via,True,2025-09-04 15:11:39
la gallina e lo sciacallo,Cosa fa la gallina quando vede lo sciacallo?,sale su un albero,corre via,False,2025-09-04 15:11:39
la gallina e lo sciacallo,Cosa dice lo sciacallo?,che gli animali hanno fatto pace,che gli animali hanno fatto pace,True,2025-09-04 15:11:54
la gallina e lo sciacallo,La gallina crede allo sciacallo?,corre giù,corre giù,True,2025-09-04 15:12:05
la gallina e lo sciacallo,Cosa vede la gallina da sopra l’albero?,un branco di cani,un branco di cani,True,2025-09-04 15:12:15
la gallina e lo sciacallo,Cosa fa lo sciacallo appena sente dei cani?,corre via,corre via,True,2025-09-04 15:12:33
la gallina e lo sciacallo,Cosa gli grida la gallina?,perché scappi?,perché scappi?,True,2025-09-04 15:12:43
la gallina e lo sciacallo,Cosa risponde lo sciacallo?,che i cani non sanno ancora la notizia,che i cani non sanno ancora la notizia,True,2025-09-04 15:12:52
la gallina e lo sciacallo,Qual è la morale della favola?,essere forti,essere forti,True,2025-09-04 15:13:04
