Story_Title,Question,Attempt_Count,First_Correct,Last_Correct,Improvement_Pattern
come la notte scese sul mondo,Cosa non esisteva tanto tempo fa?,2,True,False,Worsened
come la notte scese sul mondo,Cosa ruppero la seconda volta?,2,True,False,Worsened
come la notte scese sul mondo,Cosa uscì dalla pentolina?,2,False,True,Improved
come la notte scese sul mondo,Da quel momento cosa esiste?,2,False,True,Improved
due grandi amici,Chi cerca di salvare Mix?,6,False,True,Improved
due grandi amici,Chi chiama i pompieri?,4,True,True,Stayed Correct
due grandi amici,Chi sono i protagonisti della storia?,4,True,True,Stayed Correct
due grandi amici,Come tornano a casa?,4,True,True,Stayed Correct
due grandi amici,Cosa dice Max a Mix?,4,True,True,Stayed Correct
due grandi amici,Cosa fa Mix appena piccolino?,4,True,True,Stayed Correct
due grandi amici,Cosa imparano i due amici?,4,False,False,Stayed Wrong
due grandi amici,Cosa porta il camion dei pompieri?,4,True,True,Stayed Correct
due grandi amici,Cosa succede a Max sull'albero?,5,True,True,Stayed Correct
due grandi amici,Perché Max lo dice?,6,True,True,Stayed Correct
il gigante e l'ondina,Chi ha scritto questa storia?,4,True,False,Worsened
il gigante e l'ondina,Chi è l’ondina?,4,True,True,Stayed Correct
il gigante e l'ondina,Come erano le acque quando il gigante riposava?,5,True,True,Stayed Correct
il gigante e l'ondina,Cosa copriva il corpo del gigante?,4,True,True,Stayed Correct
il gigante e l'ondina,Cosa faceva all’alba e al tramonto?,4,True,True,Stayed Correct
il gigante e l'ondina,Cosa succede quando l’ondina non si fa più vedere?,4,True,True,Stayed Correct
il gigante e l'ondina,Dove si svolge la storia?,4,False,False,Stayed Wrong
il gigante e l'ondina,Perché le acque salgono e scendono ancora oggi?,5,False,True,Improved
il gigante e l'ondina,Quanto tempo riposa il gigante?,4,True,True,Stayed Correct
incontro con il mammut,Chi sbuca tra le foglie?,3,True,True,Stayed Correct
incontro con il mammut,Come chiama Petra il mammut?,4,True,True,Stayed Correct
incontro con il mammut,Come reagisce il mammut?,4,False,False,Stayed Wrong
incontro con il mammut,Come si chiama la bambina protagonista?,4,True,True,Stayed Correct
incontro con il mammut,Come si sentono alla fine?,4,True,True,Stayed Correct
incontro con il mammut,Cosa fa Petra per fargli amicizia?,4,True,True,Stayed Correct
incontro con il mammut,Cosa sente Petra nel bosco?,5,True,True,Stayed Correct
incontro con il mammut,Dove si nasconde Petra?,4,True,True,Stayed Correct
incontro con il mammut,Dove va Petra a prendere l’acqua?,4,True,True,Stayed Correct
incontro con il mammut,In quale epoca vive la bambina?,4,True,True,Stayed Correct
la festa di halloween,Chi lo chiama?,3,False,False,Stayed Wrong
la festa di halloween,Chi è il protagonista?,3,False,False,Stayed Wrong
la festa di halloween,Come si sente Rico all’idea di uscire con Pietro?,4,False,False,Stayed Wrong
la festa di halloween,Come si veste Rico?,3,True,True,Stayed Correct
la festa di halloween,Come è vestito Pietro?,4,True,True,Stayed Correct
la festa di halloween,Cosa ama fare Rico?,3,False,False,Stayed Wrong
la festa di halloween,Cosa deve fare Rico?,3,True,True,Stayed Correct
la festa di halloween,Cosa ha con sé per gli scherzi?,3,True,True,Stayed Correct
la festa di halloween,Cosa pensa Rico del costume di Pietro?,3,True,True,Stayed Correct
la festa di halloween,Cosa teme Rico?,4,False,False,Stayed Wrong
la gallina e lo sciacallo,Chi incontra la gallina?,5,False,True,Improved
la gallina e lo sciacallo,Cosa dice lo sciacallo?,4,True,True,Stayed Correct
la gallina e lo sciacallo,Cosa fa la gallina quando vede lo sciacallo?,5,True,False,Worsened
la gallina e lo sciacallo,Cosa fa lo sciacallo appena sente dei cani?,4,True,False,Worsened
la gallina e lo sciacallo,Cosa gli grida la gallina?,4,True,True,Stayed Correct
la gallina e lo sciacallo,Cosa risponde lo sciacallo?,4,True,True,Stayed Correct
la gallina e lo sciacallo,Cosa vede la gallina da sopra l’albero?,4,True,True,Stayed Correct
la gallina e lo sciacallo,Da dove viene questa favola?,4,False,True,Improved
la gallina e lo sciacallo,La gallina crede allo sciacallo?,5,True,False,Worsened
la gallina e lo sciacallo,Qual è la morale della favola?,7,True,False,Worsened
un momento eroico,Chi aiuta Edoardo a restare tranquillo?,3,False,True,Improved
un momento eroico,Chi arriva alla fine?,3,True,True,Stayed Correct
un momento eroico,Chi è il protagonista della storia?,2,True,True,Stayed Correct
un momento eroico,Come si sentono tutti alla fine?,3,True,False,Worsened
un momento eroico,Cosa fa Edoardo alla mamma?,2,True,True,Stayed Correct
un momento eroico,Cosa gli dicono di fare?,2,True,True,Stayed Correct
un momento eroico,Cosa raccontano a Edoardo?,2,False,False,Stayed Wrong
un momento eroico,Cos’è stato davvero eroico?,4,False,True,Improved
un momento eroico,Edoardo cosa fa?,2,True,True,Stayed Correct
un momento eroico,Perché la mamma si preoccupa?,2,False,False,Stayed Wrong
