Story_Title,Question,User_Answer,Correct_Answer,Is_Correct
una bella sorpresa,Cosa stanno facendo Maura e Angelo?,disegnano un giardino,disegnano un giardino,True
una bella sorpresa,Cosa vuole mettere Angelo nel giardino?,uno scivolo alto alto,uno scivolo alto alto,True
una bella sorpresa,Cosa disegna Maura?,fiori colorati,fiori colorati,True
una bella sorpresa,Che animale disegna Angelo?,un elefante,un elefante,True
una bella sorpresa,Che animale disegna Maura?,un gattino nero con macchia bianca,un gattino nero con macchia bianca,True
una bella sorpresa,Di che colore è il gattino disegnato da Angelo?,bianco con macchia nera,nero con macchia bianca,False
una bella sorpresa,Chi chiama i bambini?,la mamma e il papà,la mamma e il papà,True
una bella sorpresa,Cosa trovano i bambini uscendo?,un gattino bianco e marrone,un gattino bianco e marrone,True
una bella sorpresa,Come viene descritto il gattino?,un batuffolo tutto nero,un batuffolo bianco e marrone,False
una bella sorpresa,Come si sentono i bambini alla fine?,sorpresi e felici,tristi,False
tutti in gita!,Che giorno è nella storia?,un giorno di sole e senza nuvole,un giorno di sole e senza nuvole,True
tutti in gita!,Dove vanno i bambini?,al mare,al mare,True
tutti in gita!,Con chi partono?,con quattro maestre e il bidello carletto,con due maestre e il bidello carletto,False
tutti in gita!,Cosa fanno i bambini sul pullman?,cantano,cantano,True
tutti in gita!,Cosa grida un bambino appena vede il mare?,il lago!,il lago!,True
tutti in gita!,Perché le maestre si disperano?,perché il bambino confonde il mare con il lago,perché il bambino confonde il mare con il lago,True
tutti in gita!,Cosa pensa una maestra quando il bambino vuole bere l’acqua del mare?,di lasciarlo provare così impara,di dargli una bottiglietta d’acqua,False
tutti in gita!,Cosa fa il bambino appena arriva in spiaggia?,beve l’acqua di mare,beve l’acqua di mare,True
tutti in gita!,Cosa dicono gli altri bambini quando vedono il bambino bere l’acqua salata?,ci cascano anche loro e bevono,ci cascano anche loro e bevono,True
tutti in gita!,Come si sentono le maestre alla fine?,sempre più disperate,sempre più disperate,True
un vento bellissimo,Chi sono i protagonisti della storia?,filippo maria e simone,filippo maria e simone,True
un vento bellissimo,Dove stanno andando i bambini?,a scuola,a scuola,True
un vento bellissimo,Che tempo fa?,c’è vento e pioggerella,c’è vento e pioggerella,True
un vento bellissimo,Cosa portano con sé i bambini?,ombrello e giacca a vento,ombrello e giacca a vento,True
un vento bellissimo,Come reagisce Filippo Maria al vento?,è entusiasta,si arrabbia,False
un vento bellissimo,Cosa teme Simone?,che il vento li faccia volare via davvero,che il vento li faccia volare via davvero,True
un vento bellissimo,Cosa dice Filippo Maria a Simone?,che volare sarebbe bellissimo,che volare sarebbe bellissimo,True
un vento bellissimo,Cosa succede all’ombrello di Filippo Maria?,si rovescia,si rovescia,True
un vento bellissimo,A Simone piace volare?,no,no,True
un vento bellissimo,Come si sente Filippo Maria alla fine?,felice e allegro,felice e allegro,True
un fantasma a pallini,Come si chiama il fantasma?,macchia,macchia,True
un fantasma a pallini,Cosa fa il fantasma ogni notte?,va a spasso per il buio,va a spasso per il buio,True
un fantasma a pallini,Dove si macchia di pomodoro?,in pizzeria,a scuola,False
un fantasma a pallini,Con cosa si macchia alla cioccolateria?,cioccolato,cioccolato,True
un fantasma a pallini,Con cosa si macchia nel prato?,di erba,di erba,True
un fantasma a pallini,Cosa deve fare ogni mattina Macchia?,"lavare, stendere e stirare il lenzuolo","lavare, stendere e stirare il lenzuolo",True
un fantasma a pallini,Perché Macchia compra un lenzuolo a pallini?,perché le macchie non si vedono,perché le macchie non si vedono,True
un fantasma a pallini,Dove compra il nuovo lenzuolo?,in un negozio per fantasmi,in un negozio per fantasmi,True
un fantasma a pallini,Come si sente Macchia con il lenzuolo a pallini?,felice e contento,infelice,False
un fantasma a pallini,Cosa fa Macchia alla fine della storia?,continua a passeggiare tranquillo,si nasconde,False
dino resta a casa,Che giorno è nella storia?,sabato,sabato,True
dino resta a casa,Cosa deve fare la mamma di Viola?,andare a lavorare,andare a lavorare,True
dino resta a casa,Dove porta la mamma Viola?,dalla nonna,dalla nonna,True
dino resta a casa,Cosa chiede Viola alla mamma prima di alzarsi?,di vestirla,un biscotto,False
dino resta a casa,Cosa fa Viola prima di uscire?,fa colazione e si lava i denti,fa colazione e si lava i denti,True
dino resta a casa,Dove controlla Viola se ha preso tutto?,nello zainetto,nello zainetto,True
dino resta a casa,Chi è Joe?,il pinguino di peluche di viola,il pinguino di peluche di viola,True
dino resta a casa,Cosa scopre Viola?,di aver dimenticato il dino a letto,di aver dimenticato il dino a letto,True
dino resta a casa,Chi è Dino?,il dinosauro peluche,il cagnolino di viola,False
dino resta a casa,Cosa pensa Viola alla fine?,che dino a casa si annoierà,che dino a casa si annoierà,True
zanzare,Dove si trova Oirartnoc?,è il paese al contrario,è il paese al contrario,True
zanzare,Come sono le zanzare a Oirartnoc?,vegetariane,vegetariane,True
zanzare,Cosa non fanno mai le zanzare lì?,mordono i bambini,mordono i bambini,True
zanzare,Cosa mangiano le zanzare?,foglioline di basilico e menta,foglioline di basilico e menta,True
zanzare,Di cosa sono golose?,dell’erbetta dei prati,dell’erbetta dei prati,True
zanzare,Come sono le zanzare descritte nel testo?,grasse e felici,magre e affamate,False
zanzare,Com’era l’estate in quel paese?,calda e zanzarosa,calda e zanzarosa,True
zanzare,Cosa facevano le zanzare verso sera?,calavano in picchiata sull’erba,calavano in picchiata sull’erba,True
zanzare,Cosa indossavano le zanzare quando si avvicinavano all’erba?,il bavagliolo,il bavagliolo,True
zanzare,Cosa pensavano i bambini di quel posto?,era bellissimo perché nessuno li pungeva,avevano paura delle zanzare,False
un libro divertente,Chi sono le protagoniste?,giulia e paola,giulia e paola,True
un libro divertente,Cosa fa Giulia un lunedì sera?,telefona a paola,telefona a paola,True
un libro divertente,Cosa racconta Giulia a Paola?,di un nuovo libro,di un nuovo libro,True
un libro divertente,Come si chiama il libro che sta leggendo Giulia?,la storia di magodan,la storia di magodan,True
un libro divertente,Com’è la copertina del libro?,rossa,rossa,True
un libro divertente,Dove si trova il libro in biblioteca?,sullo scaffale,sullo scaffale,True
un libro divertente,Quanti capitoli ha già letto Giulia?,tre,tre,True
un libro divertente,Cosa succede mentre legge?,le viene da ridere,le viene da ridere,True
un libro divertente,Cosa decide Paola di fare?,leggere il libro anche lei,leggere il libro anche lei,True
un libro divertente,Come termina la telefonata?,cambiando discorso,cambiando discorso,True
l'orologio,Cosa faceva la mamma mentre Filippo guardava l’orologio?,mescolava il risotto,mescolava il risotto,True
l'orologio,A chi piace guardare l’orologio?,a filippo,al papà,False
l'orologio,Cosa gli aveva spiegato la mamma?,come funziona il tempo e le lancette,come funziona il tempo e le lancette,True
l'orologio,Qual è la lancetta che corre più veloce?,quella dei secondi,quella dei secondi,True
l'orologio,Cosa ha fatto Filippo a scuola?,ha spiegato l’orologio ai compagni,ha raccontato una storia,False
l'orologio,Cosa hanno fatto i compagni quando Filippo ha spiegato l’orologio?,lo hanno applaudito,lo hanno applaudito,True
l'orologio,A che ora torna il papà?,alle 7 di sera,alle 7 di sera,True
l'orologio,Dove guardava Filippo per capire l’ora?,sull’orologio a muro,sull’orologio a muro,True
l'orologio,Come si sentiva Filippo quella sera?,felice,triste,False
l'orologio,A chi voleva raccontare tutto Filippo?,al papà,alla mamma,False
troppo bianchi,Chi spiava il topolino nella neve?,una lepre,una lepre,True
troppo bianchi,Chi arriva correndo e salta sulla schiena dell’ermellino?,una lepre bianca,una lepre bianca,True
