Story_Title,Question,User_Answer,Correct_Answer,Is_Correct,Date
tutti in gita!,Che giorno è nella storia?,un giorno di sole e senza nuvole,un giorno di sole e senza nuvole,True,2025-07-29 08:14:00
tutti in gita!,Dove vanno i bambini?,al mare,al mare,True,2025-07-29 08:14:26
tutti in gita!,Con chi partono?,con quattro maestre e il bidello carletto,con due maestre e il bidello carletto,False,2025-07-29 08:14:36
tutti in gita!,Cosa fanno i bambini sul pullman?,cantano,cantano,True,2025-07-29 08:15:23
tutti in gita!,Cosa grida un bambino appena vede il mare?,il lago!,il lago!,True,2025-07-29 08:15:35
tutti in gita!,Perché le maestre si disperano?,perché il bambino confonde il mare con il lago,perché il bambino confonde il mare con il lago,True,2025-07-29 08:15:49
tutti in gita!,Cosa pensa una maestra quando il bambino vuole bere l’acqua del mare?,di avvisarlo subito,di dargli una bottiglietta d’acqua,False,2025-07-29 08:16:09
tutti in gita!,Cosa fa il bambino appena arriva in spiaggia?,beve l’acqua di mare,beve l’acqua di mare,True,2025-07-29 08:19:49
tutti in gita!,Cosa dicono gli altri bambini quando vedono il bambino bere l’acqua salata?,ci cascano anche loro e bevono,ci cascano anche loro e bevono,True,2025-07-29 08:20:10
tutti in gita!,Come si sentono le maestre alla fine?,sempre più disperate,sempre più disperate,True,2025-07-29 08:20:28
dino resta a casa,Che giorno è nella storia?,sabato,sabato,True,2025-08-02 12:16:59
dino resta a casa,Cosa deve fare la mamma di Viola?,andare a lavorare,andare a lavorare,True,2025-08-02 12:17:20
dino resta a casa,Dove porta la mamma Viola?,dalla nonna,dalla nonna,True,2025-08-02 12:17:35
dino resta a casa,Cosa chiede Viola alla mamma prima di alzarsi?,un grattino,un biscotto,False,2025-08-02 12:17:46
dino resta a casa,Cosa fa Viola prima di uscire?,fa colazione e si lava i denti,fa colazione e si lava i denti,True,2025-08-02 12:18:00
dino resta a casa,Dove controlla Viola se ha preso tutto?,nello zainetto,nello zainetto,True,2025-08-02 12:18:11
dino resta a casa,Chi è Joe?,il pinguino di peluche di viola,il pinguino di peluche di viola,True,2025-08-02 12:18:23
dino resta a casa,Cosa scopre Viola?,di aver dimenticato il dino a letto,di aver dimenticato il dino a letto,True,2025-08-02 12:18:42
dino resta a casa,Chi è Dino?,il dinosauro peluche,il cagnolino di viola,False,2025-08-02 12:18:59
dino resta a casa,Cosa pensa Viola alla fine?,che lo porterà la prossima volta,che dino a casa si annoierà,False,2025-08-02 12:19:10
zanzare,Dove si trova Oirartnoc?,è il paese al contrario,è il paese al contrario,True,2025-08-02 12:37:28
zanzare,Come sono le zanzare a Oirartnoc?,vegetariane,vegetariane,True,2025-08-02 12:37:48
zanzare,Cosa non fanno mai le zanzare lì?,volano di giorno,mordono i bambini,False,2025-08-02 12:37:58
zanzare,Cosa mangiano le zanzare?,foglioline di basilico e menta,foglioline di basilico e menta,True,2025-08-02 12:38:11
zanzare,Di cosa sono golose?,dell’erbetta dei prati,dell’erbetta dei prati,True,2025-08-02 12:38:21
zanzare,Come sono le zanzare descritte nel testo?,grasse e felici,magre e affamate,False,2025-08-02 12:38:32
zanzare,Com’era l’estate in quel paese?,calda e zanzarosa,calda e zanzarosa,True,2025-08-02 12:38:45
zanzare,Cosa facevano le zanzare verso sera?,calavano in picchiata sull’erba,calavano in picchiata sull’erba,True,2025-08-02 12:39:03
zanzare,Cosa indossavano le zanzare quando si avvicinavano all’erba?,il bavagliolo,il bavagliolo,True,2025-08-02 12:39:14
zanzare,Cosa pensavano i bambini di quel posto?,era bellissimo perché nessuno li pungeva,avevano paura delle zanzare,False,2025-08-02 12:39:25
un fantasma a pallini,Come si chiama il fantasma?,macchia,macchia,True,2025-08-30 08:33:09
un fantasma a pallini,Cosa fa il fantasma ogni notte?,va a spasso per il buio,va a spasso per il buio,True,2025-08-30 08:33:22
un fantasma a pallini,Dove si macchia di pomodoro?,in pizzeria,a scuola,False,2025-08-30 08:33:35
un fantasma a pallini,Con cosa si macchia alla cioccolateria?,cioccolato,cioccolato,True,2025-08-30 08:33:50
un fantasma a pallini,Con cosa si macchia nel prato?,di erba,di erba,True,2025-08-30 08:34:03
un fantasma a pallini,Cosa deve fare ogni mattina Macchia?,"lavare, stendere e stirare il lenzuolo","lavare, stendere e stirare il lenzuolo",True,2025-08-30 08:34:12
un fantasma a pallini,Perché Macchia compra un lenzuolo a pallini?,perché le macchie non si vedono,perché le macchie non si vedono,True,2025-08-30 08:34:25
