Story_Title,Question,Attempt_Count,First_Correct,Last_Correct,Improvement_Pattern
alfonsina strada,Alfonsina fu accolta come…,3,True,True,Stayed Correct
alfonsina strada,Chi era Alfonsina?,3,True,True,Stayed Correct
alfonsina strada,Cosa fece comunque Alfonsina?,3,True,True,Stayed Correct
alfonsina strada,Cosa le dicevano i suoi genitori?,3,True,True,Stayed Correct
alfonsina strada,Cosa le regala il marito il giorno delle nozze?,3,True,True,Stayed Correct
alfonsina strada,Cosa sarebbe felice di sapere oggi Alfonsina?,4,False,True,Improved
alfonsina strada,In quale gara si iscrive Alfonsina?,3,True,True,Stayed Correct
alfonsina strada,Perché non le permisero di partecipare l’anno dopo?,3,True,True,Stayed Correct
alfonsina strada,Quanti anni restò imbattuto il suo record?,3,True,True,Stayed Correct
alfonsina strada,Quanti ciclisti tagliano il traguardo su novanta?,4,True,True,Stayed Correct
due grandi amici,Chi cerca di salvare Mix?,6,False,True,Improved
due grandi amici,Chi chiama i pompieri?,4,True,True,Stayed Correct
due grandi amici,Chi sono i protagonisti della storia?,4,True,True,Stayed Correct
due grandi amici,Come tornano a casa?,4,True,True,Stayed Correct
due grandi amici,Cosa dice Max a Mix?,4,True,True,Stayed Correct
due grandi amici,Cosa fa Mix appena piccolino?,4,True,True,Stayed Correct
due grandi amici,Cosa imparano i due amici?,4,False,False,Stayed Wrong
due grandi amici,Cosa porta il camion dei pompieri?,4,True,True,Stayed Correct
due grandi amici,Cosa succede a Max sull'albero?,5,True,True,Stayed Correct
due grandi amici,Perché Max lo dice?,6,True,True,Stayed Correct
il gigante e l'ondina,Chi ha scritto questa storia?,4,True,False,Worsened
il gigante e l'ondina,Chi è l’ondina?,4,True,True,Stayed Correct
il gigante e l'ondina,Come erano le acque quando il gigante riposava?,5,True,True,Stayed Correct
il gigante e l'ondina,Cosa copriva il corpo del gigante?,4,True,True,Stayed Correct
il gigante e l'ondina,Cosa faceva all’alba e al tramonto?,4,True,True,Stayed Correct
il gigante e l'ondina,Cosa succede quando l’ondina non si fa più vedere?,4,True,True,Stayed Correct
il gigante e l'ondina,Dove si svolge la storia?,4,False,False,Stayed Wrong
il gigante e l'ondina,Perché le acque salgono e scendono ancora oggi?,5,False,True,Improved
