Story_Title,Question,User_Answer,Correct_Answer,Is_Correct
la principessa prepotente,Come si chiama la principessa?,priscilla,priscilla,True
la principessa prepotente,Com’era la principessa?,prepotente,prepotente,True
la principessa prepotente,Come la chiamavano tutti?,principessa dei miei stivali,principessa dei miei stivali,True
la principessa prepotente,Chi le porta un regalo speciale?,un mago,un mago,True
la principessa prepotente,Cosa fanno gli stivali?,corrono da soli,obbediscono,False
la principessa prepotente,Cosa succede alla principessa?,si stanca e resta senza fiato,si diverte a correre con gli stivali,False
la principessa prepotente,Dove la riportano gli stivali?,al castello,al castello,True
la principessa prepotente,Cosa le chiede il mago per far sparire gli stivali?,di pronunciare una parola,di pronunciare una parola,True
la principessa prepotente,Cosa impara Priscilla alla fine?,ad essere educata,a correre veloce,False
la principessa prepotente,Quali parole usa sempre dopo?,per favore e grazie,per favore e grazie,True
sorrisi contagiosi,Con chi passa la giornata Laura?,con la zia giusi,con la zia giusi,True
sorrisi contagiosi,Cosa vuole insegnarle la zia?,a coccolare il cuore,a coccolare il cuore,True
sorrisi contagiosi,"Cosa contagia più di tutto, secondo la zia?",le emozioni,le emozioni,True
sorrisi contagiosi,Cosa fanno insieme?,scrivono una lista,scrivono una lista,True
sorrisi contagiosi,Chi incontrano per strada?,il signor scontroso,il signor scontroso,True
sorrisi contagiosi,Cosa fanno al signor Scontroso?,gli sorridono e lo salutano,gli sorridono e lo salutano,True
sorrisi contagiosi,Cosa succede al signor Scontroso?,smette di essere arrabbiato,smette di essere arrabbiato,True
sorrisi contagiosi,Cosa decidono di fare Laura e la zia tutto il giorno?,continuare a sorridere e contagiare felicità,continuare a sorridere e contagiare felicità,True
sorrisi contagiosi,Cosa capisce Laura alla fine?,che i sorrisi aprono il cuore,che è sempre tutto divertente,False
sorrisi contagiosi,A cosa devono spalancare le porte dei cuori?,a risate,a risate,True
alfonsina strada,Chi era Alfonsina?,una ciclista,una ciclista,True
alfonsina strada,Cosa le dicevano i suoi genitori?,di non andare così veloce,di non andare così veloce,True
alfonsina strada,Cosa le regala il marito il giorno delle nozze?,una bici nuova,una bici nuova,True
alfonsina strada,In quale gara si iscrive Alfonsina?,il giro d’italia,il giro d’italia,True
alfonsina strada,Quanti ciclisti tagliano il traguardo su novanta?,trenta,trenta,True
alfonsina strada,Alfonsina fu accolta come…,un’eroina,un’eroina,True
alfonsina strada,Perché non le permisero di partecipare l’anno dopo?,perché il giro era per uomini,perché il giro era per uomini,True
alfonsina strada,Cosa fece comunque Alfonsina?,continuò a correre,continuò a correre,True
alfonsina strada,Quanti anni restò imbattuto il suo record?,ventisette,ventisette,True
alfonsina strada,Cosa sarebbe felice di sapere oggi Alfonsina?,che il ciclismo femminile è popolare,che il ciclismo femminile è popolare,True
piccolo mostro,Dove avviene la storia?,in città,in città,True
piccolo mostro,Chi consegna i neonati?,le cicogne,le cicogne,True
piccolo mostro,Dove doveva andare il fagottino 225?,piazza delle giunchiglie 37,piazza delle giunchiglie 37,True
piccolo mostro,Dove arriva invece?,vicolo de’ mostris 4,piazza delle giunchiglie 37,False
piccolo mostro,Chi trova il fagottino?,una coppia,una coppia,True
piccolo mostro,Com’era il neonato?,biondo con occhi azzurri,castano con occhi azzurri,False
piccolo mostro,Come reagiscono Edelvira e Abelardo?,sono delusi,sono delusi,True
piccolo mostro,Cosa sperava Edelvira?,orecchie pelose come il papà,una proboscide bitorzoluta come il papà,False
piccolo mostro,Cosa dice Abelardo?,che forse i peli cresceranno,che i  peli non cresceranno mai,False
piccolo mostro,Come finisce la storia?,con la famiglia felice,con il neonato che torna via,False
la festa di halloween,Chi è il protagonista?,rico,pietro,False
la festa di halloween,Cosa ama fare Rico?,mangiare dolci e fare scherzi,giocare a calcio con gli amici,False
la festa di halloween,Come si veste Rico?,da diavolo,da diavolo,True
la festa di halloween,Cosa ha con sé per gli scherzi?,carta igienica e pistole ad acqua,carta igienica e pistole ad acqua,True
la festa di halloween,Chi lo chiama?,il fratello,il papà,False
la festa di halloween,Cosa pensa Rico del costume di Pietro?,che è stupido,che è stupido,True
la festa di halloween,Come si sente Rico all’idea di uscire con Pietro?,vergognato,felice,False
la festa di halloween,Cosa teme Rico?,di essere deriso,di perdere dolci,False
la festa di halloween,Cosa deve fare Rico?,trovare una soluzione,trovare una soluzione,True
la festa di halloween,Come è vestito Pietro?,da coniglio rosa a pois,da coniglio rosa a pois,True
il gigante e l'ondina,Chi è l’ondina?,una fata delle acque,una fata delle acque,True
il gigante e l'ondina,Cosa faceva all’alba e al tramonto?,usciva dall’acqua per cantare,usciva dall’acqua per cantare,True
il gigante e l'ondina,Cosa succede quando l’ondina non si fa più vedere?,il gigante spinge le acque del mare,il gigante spinge le acque del mare,True
il gigante e l'ondina,Quanto tempo riposa il gigante?,sei ore,sei ore,True
il gigante e l'ondina,Cosa copriva il corpo del gigante?,alghe e gabbiani,alghe e gabbiani,True
il gigante e l'ondina,Come erano le acque quando il gigante riposava?,tranquille,tranquille,True
