Story_Title,Question,User_Answer,Correct_Answer,Is_Correct,Date
verso i mari del sud,In quale data parte il protagonista?,4 maggio 1699,4 maggio 1699,True,2025-07-28 17:38:38
verso i mari del sud,Qual è il nome della nave?,antilope,antilope,True,2025-07-28 17:38:53
verso i mari del sud,Chi è il comandante della nave?,prichard,prichard,True,2025-07-28 17:39:14
verso i mari del sud,Qual era la destinazione della nave?,indie orientali,indie orientali,True,2025-07-28 17:42:02
verso i mari del sud,Cosa accade a novembre?,una tempesta li porta fuori rotta,una tempesta li porta fuori rotta,True,2025-07-28 17:43:21
verso i mari del sud,Contro cosa si schianta la nave?,uno scoglio,uno scoglio,True,2025-07-28 17:43:30
verso i mari del sud,Quanti compagni riescono a scappare con il protagonista?,nessuno,due,False,2025-07-28 17:44:38
verso i mari del sud,Cosa succede alla scialuppa?,si rompe,si rovescia,False,2025-07-28 17:45:26
verso i mari del sud,Come si salva il protagonista?,toccando il fondale sabbioso,toccando il fondale sabbioso,True,2025-07-28 17:45:59
verso i mari del sud,Come si sente il protagonista toccando il fondale?,infreddolito,sollevato,False,2025-07-28 17:46:09
verso i mari del sud,Quanti compagni riescono a scappare con il protagonista?,due,due,True,2025-07-28 17:51:14
verso i mari del sud,Cosa succede alla scialuppa?,si rovescia,si rovescia,True,2025-07-28 17:51:26
davanti al portone,Davanti a cosa si ferma il signor Veneranda?,un portone,un portone,True,2025-07-29 08:15:35
davanti al portone,Chi si affaccia alla finestra?,un signore,un signore,True,2025-07-29 08:15:46
davanti al portone,Chi si affaccia alla finestra?,un vicino di casa,un signore,False,2025-07-29 08:15:46
davanti al portone,Cosa vuole fare il signore alla finestra?,lanciargli la chiave,lanciargli la chiave,True,2025-07-29 08:16:38
davanti al portone,Perché il signor Veneranda fischiava?,non si sa,non si sa,True,2025-07-29 08:16:56
davanti al portone,Chi si arrabbia per il baccano?,un inquilino,un inquilino,True,2025-07-29 08:18:00
davanti al portone,Come definisce il signor Veneranda quella casa?,un manicomio,un manicomio,True,2025-07-29 08:18:34
davanti al portone,Cosa fa alla fine il signor Veneranda?,saluta e se ne va,saluta e se ne va,True,2025-07-29 08:20:09
davanti al portone,Qual è la reazione del signore al terzo piano?,si arrabbia,è confuso,False,2025-07-29 08:20:22
davanti al portone,Cosa pensa il signor Veneranda del dialogo?,che sia assurdo,che sia assurdo,True,2025-07-29 08:21:26
davanti al portone,Come termina la situazione?,nessuna delle precedenti,nessuna delle precedenti,True,2025-07-29 08:21:43
davanti al portone,Qual è la reazione del signore al terzo piano?,è confuso,è confuso,True,2025-07-29 08:25:41
destinazione norvegia,Dove andava l’autore in vacanza da bambino?,in norvegia,in norvegia,True,2025-08-05 09:20:59
